[2019-10-02T16:23:12,289] <main> WARN  system - reload system.properties failed: file not found
[2019-10-02T16:23:12,325] <main> WARN  system - reload system.properties.bk failed: file not found
[2019-10-02T16:23:24,804] <launcher-ui> INFO  launcher - Initializing UniFi Controller ...
[2019-10-02T16:23:24,970] <launcher-ui> ERROR launcher - Couldn't find com.apple.eawt.QuitHandler in jre.
[2019-10-02T16:23:26,295] <launcher-monitor> INFO  launcher - Starting UniFi Controller ...
[2019-10-02T16:23:26,474] <UniFi> ERROR system - [exec] error, rc=1, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:23:36,360] <UniFi> ERROR system - [exec] error, rc=1, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:23:46,354] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:23:56,372] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:24:06,366] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:24:16,370] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:24:26,377] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:24:36,378] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:24:46,383] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:24:56,383] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:25:06,387] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
